agent_id,persona_base,persona_mixture,income_monthly,housing_ratio,wtp_monthly,bed_need,sf_pref_low,sf_pref_high,floor_pref,noise_tol,elasticity,cultural_fit,availability_month,style_words,amenity_rank
A0752,young_pro,"{'young_pro': 0.291, 'grad_student_intl': 0.26, 'affluent_couple': 0.205, 'med_resident': 0.171, 'retired_urbanite': 0.073}",9035.0,0.304,2738,2,571,823,med,low,1.06,0.94,1,"['warm_wood', 'modern_lux', 'non_slip']","['24hr_access', 'roof_deck', 'concierge']"
A0753,grad_student_intl,"{'young_pro': 0.207, 'grad_student_intl': 0.279, 'affluent_couple': 0.231, 'med_resident': 0.168, 'retired_urbanite': 0.113}",8871.0,0.293,2577,1,586,816,high,med,1.0,0.44,2,"['classic', 'modern_lux', 'non_slip']","['package_room', 'study_lounge', 'bike_storage']"
A0754,young_pro,"{'young_pro': 0.344, 'grad_student_intl': 0.201, 'affluent_couple': 0.206, 'med_resident': 0.185, 'retired_urbanite': 0.065}",8118.0,0.304,2406,1,626,802,low,med,1.04,0.69,1,"['soft_light', 'minimal', 'soft_brightness']","['roof_deck', 'laundry', 'elevator_proximity']"
A0755,young_pro,"{'young_pro': 0.342, 'grad_student_intl': 0.249, 'affluent_couple': 0.172, 'med_resident': 0.144, 'retired_urbanite': 0.093}",6458.0,0.309,2042,1,469,700,high,med,1.06,0.81,1,"['minimal', 'budget_friendly', 'warm_wood']","['roof_deck', 'laundry_shared', 'bike_storage']"
A0756,young_pro,"{'young_pro': 0.32, 'grad_student_intl': 0.186, 'affluent_couple': 0.25, 'med_resident': 0.146, 'retired_urbanite': 0.099}",7419.0,0.27,2095,1,427,614,med,low,1.0,0.58,2,"['calm_tone', 'compact', 'art_display']","['roof_deck', 'concierge', 'gym']"
A0757,grad_student_intl,"{'young_pro': 0.249, 'grad_student_intl': 0.271, 'affluent_couple': 0.155, 'med_resident': 0.144, 'retired_urbanite': 0.182}",6668.0,0.256,1657,2,513,696,high,low,0.89,0.44,1,"['soft_light', 'warm_wood', 'compact']","['package_room', 'wifi', 'study_lounge']"
A0758,grad_student_intl,"{'young_pro': 0.224, 'grad_student_intl': 0.29, 'affluent_couple': 0.216, 'med_resident': 0.206, 'retired_urbanite': 0.063}",5558.0,0.303,1672,2,510,676,med,low,0.92,0.55,2,"['task_lighting', 'art_display', 'budget_friendly']","['roof_deck', 'package_room', 'study_lounge']"
A0759,grad_student_intl,"{'young_pro': 0.271, 'grad_student_intl': 0.345, 'affluent_couple': 0.198, 'med_resident': 0.108, 'retired_urbanite': 0.077}",7613.0,0.261,2027,1,495,663,med,med,0.91,0.64,1,"['soft_light', 'modern_lux', 'compact']","['gym', 'bike_storage', 'study_lounge']"
A0760,young_pro,"{'young_pro': 0.289, 'grad_student_intl': 0.243, 'affluent_couple': 0.199, 'med_resident': 0.155, 'retired_urbanite': 0.114}",6863.0,0.286,2006,0,574,717,high,med,0.96,0.72,1,"['soft_light', 'minimal', 'compact']","['gym', 'accessibility', 'study_lounge']"
A0761,young_pro,"{'young_pro': 0.323, 'grad_student_intl': 0.213, 'affluent_couple': 0.225, 'med_resident': 0.158, 'retired_urbanite': 0.08}",10307.0,0.286,3066,2,380,593,high,low,0.91,0.6,4,"['budget_friendly', 'minimal', 'matte_black']","['quiet_zone', 'in_unit_laundry', 'gym']"
A0762,young_pro,"{'young_pro': 0.399, 'grad_student_intl': 0.238, 'affluent_couple': 0.116, 'med_resident': 0.172, 'retired_urbanite': 0.076}",7609.0,0.265,2097,2,509,737,low,high,0.97,0.38,4,"['warm_wood', 'budget_friendly', 'soft_light']","['roof_deck', 'concierge', 'laundry']"
A0763,grad_student_intl,"{'young_pro': 0.257, 'grad_student_intl': 0.304, 'affluent_couple': 0.154, 'med_resident': 0.178, 'retired_urbanite': 0.106}",6308.0,0.256,1557,1,520,691,high,med,1.01,0.59,4,"['modern_lux', 'art_display', 'minimal']","['gym', 'concierge', 'roof_deck']"
A0764,young_pro,"{'young_pro': 0.321, 'grad_student_intl': 0.262, 'affluent_couple': 0.174, 'med_resident': 0.106, 'retired_urbanite': 0.138}",7709.0,0.263,2056,1,490,721,med,med,0.89,0.49,5,"['soft_brightness', 'soft_light', 'warm_wood']","['in_unit_laundry', 'concierge', '24hr_access']"
A0765,young_pro,"{'young_pro': 0.308, 'grad_student_intl': 0.289, 'affluent_couple': 0.225, 'med_resident': 0.112, 'retired_urbanite': 0.066}",8478.0,0.319,2777,1,590,843,med,med,0.85,0.26,4,"['soft_light', 'warm_wood', 'budget_friendly']","['study_lounge', 'accessibility', 'in_unit_laundry']"
A0766,young_pro,"{'young_pro': 0.346, 'grad_student_intl': 0.254, 'affluent_couple': 0.122, 'med_resident': 0.139, 'retired_urbanite': 0.138}",9288.0,0.256,2336,1,630,815,low,low,1.08,0.48,3,"['soft_brightness', 'non_slip', 'task_lighting']","['concierge', 'wifi', 'gym']"
A0767,young_pro,"{'young_pro': 0.3, 'grad_student_intl': 0.229, 'affluent_couple': 0.202, 'med_resident': 0.218, 'retired_urbanite': 0.051}",7801.0,0.294,2322,1,590,782,med,low,1.1,0.37,2,"['soft_light', 'art_display', 'minimal']","['package_room', 'in_unit_laundry', 'bike_storage']"
A0768,young_pro,"{'young_pro': 0.364, 'grad_student_intl': 0.237, 'affluent_couple': 0.137, 'med_resident': 0.196, 'retired_urbanite': 0.066}",8129.0,0.317,2654,2,563,739,med,low,0.91,0.67,1,"['calm_tone', 'compact', 'modern_lux']","['study_lounge', 'gym', 'package_room']"
A0769,young_pro,"{'young_pro': 0.306, 'grad_student_intl': 0.252, 'affluent_couple': 0.216, 'med_resident': 0.126, 'retired_urbanite': 0.1}",8792.0,0.295,2646,1,474,701,high,med,1.04,0.88,1,"['minimal', 'soft_brightness', 'modern_lux']","['community_room', 'bike_storage', 'laundry_shared']"
A0770,grad_student_intl,"{'young_pro': 0.267, 'grad_student_intl': 0.314, 'affluent_couple': 0.183, 'med_resident': 0.179, 'retired_urbanite': 0.056}",5528.0,0.303,1705,2,481,680,low,high,1.01,0.86,2,"['task_lighting', 'soft_brightness', 'budget_friendly']","['study_lounge', 'roof_deck', 'elevator_proximity']"
A0771,young_pro,"{'young_pro': 0.281, 'grad_student_intl': 0.274, 'affluent_couple': 0.167, 'med_resident': 0.216, 'retired_urbanite': 0.062}",7185.0,0.276,2036,1,498,679,med,low,1.05,0.5,1,"['warm_wood', 'compact', 'classic']","['concierge', 'laundry_shared', 'gym']"
A0772,young_pro,"{'young_pro': 0.33, 'grad_student_intl': 0.183, 'affluent_couple': 0.212, 'med_resident': 0.217, 'retired_urbanite': 0.059}",7951.0,0.299,2353,2,477,586,med,med,1.05,0.52,2,"['minimal', 'warm_wood', 'art_display']","['package_room', 'accessibility', 'study_lounge']"
A0773,young_pro,"{'young_pro': 0.284, 'grad_student_intl': 0.212, 'affluent_couple': 0.264, 'med_resident': 0.112, 'retired_urbanite': 0.127}",7185.0,0.311,2299,2,416,626,low,low,0.93,0.7,8,"['budget_friendly', 'minimal', 'non_slip']","['elevator_proximity', 'study_lounge', 'gym']"
A0774,young_pro,"{'young_pro': 0.342, 'grad_student_intl': 0.157, 'affluent_couple': 0.254, 'med_resident': 0.169, 'retired_urbanite': 0.078}",9604.0,0.279,2705,2,633,789,med,med,0.98,0.76,3,"['soft_light', 'minimal', 'matte_black']","['gym', 'roof_deck', 'package_room']"
A0775,grad_student_intl,"{'young_pro': 0.282, 'grad_student_intl': 0.295, 'affluent_couple': 0.211, 'med_resident': 0.121, 'retired_urbanite': 0.09}",8863.0,0.287,2577,1,619,854,med,low,0.94,0.53,1,"['minimal', 'matte_black', 'compact']","['roof_deck', 'package_room', 'study_lounge']"
A0776,grad_student_intl,"{'young_pro': 0.285, 'grad_student_intl': 0.3, 'affluent_couple': 0.213, 'med_resident': 0.143, 'retired_urbanite': 0.059}",7098.0,0.25,1844,2,419,675,med,low,0.99,0.57,5,"['modern_lux', 'warm_wood', 'art_display']","['concierge', 'gym', 'roof_deck']"
A0777,grad_student_intl,"{'young_pro': 0.246, 'grad_student_intl': 0.301, 'affluent_couple': 0.158, 'med_resident': 0.196, 'retired_urbanite': 0.099}",4957.0,0.315,1577,1,504,703,low,low,0.98,0.91,4,"['soft_light', 'minimal', 'warm_wood']","['study_lounge', 'wifi', 'quiet_zone']"
A0778,grad_student_intl,"{'young_pro': 0.214, 'grad_student_intl': 0.307, 'affluent_couple': 0.25, 'med_resident': 0.163, 'retired_urbanite': 0.066}",8289.0,0.265,2084,1,530,712,med,low,0.96,0.57,3,"['compact', 'task_lighting', 'art_display']","['wifi', 'laundry_shared', 'laundry']"
A0779,grad_student_intl,"{'young_pro': 0.275, 'grad_student_intl': 0.307, 'affluent_couple': 0.166, 'med_resident': 0.182, 'retired_urbanite': 0.07}",6288.0,0.262,1720,1,469,665,med,high,0.94,0.51,3,"['warm_wood', 'modern_lux', 'minimal']","['laundry', 'gym', '24hr_access']"
A0780,grad_student_intl,"{'young_pro': 0.246, 'grad_student_intl': 0.279, 'affluent_couple': 0.264, 'med_resident': 0.123, 'retired_urbanite': 0.087}",5669.0,0.291,1730,1,485,719,med,med,0.96,0.61,13,"['budget_friendly', 'warm_wood', 'calm']","['gym', 'laundry_shared', 'elevator_proximity']"
A0781,young_pro,"{'young_pro': 0.332, 'grad_student_intl': 0.231, 'affluent_couple': 0.202, 'med_resident': 0.15, 'retired_urbanite': 0.084}",7871.0,0.255,1965,1,349,593,med,low,0.98,0.68,2,"['soft_light', 'art_display', 'task_lighting']","['in_unit_laundry', 'laundry', 'accessibility']"
A0782,young_pro,"{'young_pro': 0.331, 'grad_student_intl': 0.232, 'affluent_couple': 0.164, 'med_resident': 0.172, 'retired_urbanite': 0.101}",7871.0,0.251,1901,2,575,761,med,high,1.08,0.43,3,"['soft_light', 'task_lighting', 'modern_lux']","['roof_deck', 'in_unit_laundry', 'laundry']"
A0783,young_pro,"{'young_pro': 0.362, 'grad_student_intl': 0.207, 'affluent_couple': 0.194, 'med_resident': 0.152, 'retired_urbanite': 0.084}",10147.0,0.257,2713,0,406,604,high,low,0.91,0.55,5,"['classic', 'modern_lux', 'warm_wood']","['gym', 'community_room', 'laundry']"
A0784,young_pro,"{'young_pro': 0.327, 'grad_student_intl': 0.201, 'affluent_couple': 0.186, 'med_resident': 0.233, 'retired_urbanite': 0.053}",7491.0,0.293,2213,1,465,653,med,med,0.98,0.41,3,"['soft_brightness', 'soft_light', 'warm_wood']","['study_lounge', 'gym', 'laundry']"
A0785,grad_student_intl,"{'young_pro': 0.27, 'grad_student_intl': 0.281, 'affluent_couple': 0.193, 'med_resident': 0.163, 'retired_urbanite': 0.092}",8610.0,0.27,2340,1,495,683,med,med,0.95,0.55,3,"['soft_brightness', 'soft_light', 'budget_friendly']","['quiet_zone', 'roof_deck', 'study_lounge']"
A0786,affluent_couple,"{'young_pro': 0.241, 'grad_student_intl': 0.26, 'affluent_couple': 0.28, 'med_resident': 0.108, 'retired_urbanite': 0.111}",8291.0,0.273,2175,1,603,801,high,med,0.9,0.88,2,"['soft_light', 'modern_lux', 'minimal']","['quiet_zone', 'in_unit_laundry', 'gym']"
A0787,young_pro,"{'young_pro': 0.315, 'grad_student_intl': 0.255, 'affluent_couple': 0.176, 'med_resident': 0.162, 'retired_urbanite': 0.092}",8315.0,0.271,2302,1,422,613,high,med,1.07,0.7,3,"['minimal', 'art_display', 'soft_light']","['concierge', 'gym', 'roof_deck']"
A0788,young_pro,"{'young_pro': 0.313, 'grad_student_intl': 0.187, 'affluent_couple': 0.188, 'med_resident': 0.149, 'retired_urbanite': 0.164}",6268.0,0.294,1896,1,687,919,med,low,0.95,0.58,1,"['warm_wood', 'compact', 'matte_black']","['gym', 'accessibility', 'wifi']"
A0789,grad_student_intl,"{'young_pro': 0.238, 'grad_student_intl': 0.265, 'affluent_couple': 0.255, 'med_resident': 0.164, 'retired_urbanite': 0.078}",8812.0,0.321,2920,1,470,662,low,low,1.04,0.45,5,"['soft_light', 'art_display', 'warm_wood']","['24hr_access', 'package_room', 'gym']"
A0790,young_pro,"{'young_pro': 0.316, 'grad_student_intl': 0.225, 'affluent_couple': 0.231, 'med_resident': 0.129, 'retired_urbanite': 0.099}",10082.0,0.323,3291,1,594,824,high,high,1.02,0.55,3,"['matte_black', 'calm', 'soft_light']","['study_lounge', 'concierge', 'package_room']"
A0791,grad_student_intl,"{'young_pro': 0.28, 'grad_student_intl': 0.314, 'affluent_couple': 0.168, 'med_resident': 0.167, 'retired_urbanite': 0.073}",8113.0,0.305,2541,2,486,594,med,low,1.04,0.74,4,"['minimal', 'matte_black', 'budget_friendly']","['gym', 'laundry', 'quiet_zone']"
A0792,young_pro,"{'young_pro': 0.282, 'grad_student_intl': 0.237, 'affluent_couple': 0.187, 'med_resident': 0.219, 'retired_urbanite': 0.075}",9791.0,0.323,3028,2,545,722,high,med,1.04,0.5,5,"['minimal', 'soft_light', 'compact']","['in_unit_laundry', 'roof_deck', 'gym']"
A0793,grad_student_intl,"{'young_pro': 0.264, 'grad_student_intl': 0.329, 'affluent_couple': 0.183, 'med_resident': 0.138, 'retired_urbanite': 0.086}",8569.0,0.26,2160,1,582,763,high,med,0.98,0.8,3,"['minimal', 'classic', 'task_lighting']","['package_room', 'laundry_shared', 'community_room']"
A0794,grad_student_intl,"{'young_pro': 0.317, 'grad_student_intl': 0.34, 'affluent_couple': 0.192, 'med_resident': 0.081, 'retired_urbanite': 0.071}",6004.0,0.27,1642,1,578,756,med,med,0.99,0.38,5,"['warm_wood', 'matte_black', 'budget_friendly']","['gym', 'package_room', 'concierge']"
A0795,young_pro,"{'young_pro': 0.397, 'grad_student_intl': 0.141, 'affluent_couple': 0.183, 'med_resident': 0.19, 'retired_urbanite': 0.089}",7854.0,0.31,2505,1,689,947,med,med,1.02,0.55,3,"['soft_light', 'art_display', 'matte_black']","['gym', 'in_unit_laundry', '24hr_access']"
A0796,young_pro,"{'young_pro': 0.326, 'grad_student_intl': 0.278, 'affluent_couple': 0.167, 'med_resident': 0.111, 'retired_urbanite': 0.119}",7124.0,0.273,1941,1,467,588,low,med,1.27,0.85,2,"['soft_brightness', 'task_lighting', 'soft_light']","['roof_deck', 'laundry', '24hr_access']"
A0797,grad_student_intl,"{'young_pro': 0.282, 'grad_student_intl': 0.318, 'affluent_couple': 0.245, 'med_resident': 0.117, 'retired_urbanite': 0.038}",7030.0,0.267,1815,2,641,803,med,med,1.13,0.29,2,"['warm_wood', 'classic', 'minimal']","['gym', 'wifi', 'laundry_shared']"
A0798,affluent_couple,"{'young_pro': 0.31, 'grad_student_intl': 0.194, 'affluent_couple': 0.324, 'med_resident': 0.075, 'retired_urbanite': 0.096}",8579.0,0.314,2685,1,574,783,low,med,0.71,0.78,1,"['budget_friendly', 'modern_lux', 'calm']","['gym', 'package_room', 'community_room']"
A0799,grad_student_intl,"{'young_pro': 0.19, 'grad_student_intl': 0.282, 'affluent_couple': 0.215, 'med_resident': 0.197, 'retired_urbanite': 0.115}",7893.0,0.284,2350,2,555,809,low,low,0.96,0.31,5,"['warm_wood', 'soft_light', 'compact']","['in_unit_laundry', 'accessibility', 'gym']"
A0800,young_pro,"{'young_pro': 0.332, 'grad_student_intl': 0.246, 'affluent_couple': 0.177, 'med_resident': 0.129, 'retired_urbanite': 0.115}",8679.0,0.275,2426,1,527,710,low,high,0.89,0.58,2,"['minimal', 'matte_black', 'classic']","['concierge', 'in_unit_laundry', 'package_room']"
A0801,young_pro,"{'young_pro': 0.305, 'grad_student_intl': 0.247, 'affluent_couple': 0.179, 'med_resident': 0.156, 'retired_urbanite': 0.114}",9987.0,0.293,2848,1,646,862,med,low,0.93,0.56,1,"['warm_wood', 'soft_brightness', 'matte_black']","['elevator_proximity', 'in_unit_laundry', 'bike_storage']"
A0802,young_pro,"{'young_pro': 0.327, 'grad_student_intl': 0.294, 'affluent_couple': 0.147, 'med_resident': 0.137, 'retired_urbanite': 0.094}",10036.0,0.272,2671,1,576,763,low,low,1.02,0.71,1,"['compact', 'warm_wood', 'minimal']","['gym', 'package_room', 'roof_deck']"
A0803,young_pro,"{'young_pro': 0.267, 'grad_student_intl': 0.252, 'affluent_couple': 0.201, 'med_resident': 0.157, 'retired_urbanite': 0.123}",6838.0,0.265,1824,1,562,719,med,low,1.01,0.12,2,"['minimal', 'matte_black', 'modern_lux']","['study_lounge', 'community_room', 'elevator_proximity']"
A0804,young_pro,"{'young_pro': 0.354, 'grad_student_intl': 0.236, 'affluent_couple': 0.168, 'med_resident': 0.146, 'retired_urbanite': 0.095}",6368.0,0.267,1654,3,574,699,low,med,0.97,0.3,2,"['modern_lux', 'minimal', 'soft_light']","['in_unit_laundry', 'gym', 'bike_storage']"
A0805,young_pro,"{'young_pro': 0.266, 'grad_student_intl': 0.236, 'affluent_couple': 0.195, 'med_resident': 0.181, 'retired_urbanite': 0.121}",7683.0,0.271,2014,1,636,828,low,med,0.95,0.5,6,"['budget_friendly', 'task_lighting', 'soft_light']","['package_room', 'wifi', 'gym']"
A0806,grad_student_intl,"{'young_pro': 0.273, 'grad_student_intl': 0.295, 'affluent_couple': 0.213, 'med_resident': 0.17, 'retired_urbanite': 0.049}",8854.0,0.326,2883,1,542,731,low,med,0.92,0.59,1,"['minimal', 'calm_tone', 'non_slip']","['laundry', 'gym', 'bike_storage']"
A0807,affluent_couple,"{'young_pro': 0.228, 'grad_student_intl': 0.223, 'affluent_couple': 0.305, 'med_resident': 0.154, 'retired_urbanite': 0.089}",10992.0,0.311,3454,1,526,766,low,med,1.06,0.46,1,"['art_display', 'soft_light', 'minimal']","['24hr_access', 'gym', 'elevator_proximity']"
A0808,young_pro,"{'young_pro': 0.321, 'grad_student_intl': 0.188, 'affluent_couple': 0.2, 'med_resident': 0.139, 'retired_urbanite': 0.152}",8974.0,0.318,2933,1,435,642,med,low,1.08,0.56,8,"['task_lighting', 'warm_wood', 'soft_light']","['laundry_shared', 'concierge', 'study_lounge']"
A0809,grad_student_intl,"{'young_pro': 0.201, 'grad_student_intl': 0.295, 'affluent_couple': 0.29, 'med_resident': 0.082, 'retired_urbanite': 0.131}",7615.0,0.254,1883,1,680,922,low,med,0.89,0.42,3,"['minimal', 'warm_wood', 'matte_black']","['gym', 'accessibility', 'community_room']"
A0810,young_pro,"{'young_pro': 0.274, 'grad_student_intl': 0.218, 'affluent_couple': 0.242, 'med_resident': 0.13, 'retired_urbanite': 0.135}",8764.0,0.256,2313,1,470,671,high,low,0.87,0.53,5,"['soft_brightness', 'modern_lux', 'art_display']","['package_room', 'concierge', 'community_room']"
A0811,young_pro,"{'young_pro': 0.371, 'grad_student_intl': 0.185, 'affluent_couple': 0.256, 'med_resident': 0.08, 'retired_urbanite': 0.108}",6668.0,0.272,1853,1,388,583,high,high,0.85,0.47,2,"['minimal', 'matte_black', 'budget_friendly']","['roof_deck', 'gym', 'concierge']"
A0812,grad_student_intl,"{'young_pro': 0.237, 'grad_student_intl': 0.244, 'affluent_couple': 0.218, 'med_resident': 0.183, 'retired_urbanite': 0.118}",7267.0,0.324,2338,1,471,696,low,low,0.85,0.63,3,"['minimal', 'classic', 'task_lighting']","['laundry_shared', '24hr_access', 'laundry']"
A0813,grad_student_intl,"{'young_pro': 0.297, 'grad_student_intl': 0.348, 'affluent_couple': 0.132, 'med_resident': 0.149, 'retired_urbanite': 0.074}",10010.0,0.309,3123,1,569,728,low,high,1.01,0.67,4,"['matte_black', 'art_display', 'task_lighting']","['study_lounge', 'quiet_zone', 'laundry']"
A0814,young_pro,"{'young_pro': 0.256, 'grad_student_intl': 0.237, 'affluent_couple': 0.226, 'med_resident': 0.188, 'retired_urbanite': 0.093}",7809.0,0.297,2419,1,496,659,med,med,0.84,0.81,1,"['minimal', 'soft_brightness', 'soft_light']","['study_lounge', 'gym', '24hr_access']"
A0815,young_pro,"{'young_pro': 0.306, 'grad_student_intl': 0.257, 'affluent_couple': 0.162, 'med_resident': 0.177, 'retired_urbanite': 0.098}",6333.0,0.256,1579,1,557,759,high,med,1.01,0.49,2,"['minimal', 'matte_black', 'soft_light']","['laundry_shared', 'concierge', 'bike_storage']"
A0816,grad_student_intl,"{'young_pro': 0.238, 'grad_student_intl': 0.259, 'affluent_couple': 0.208, 'med_resident': 0.159, 'retired_urbanite': 0.136}",7487.0,0.311,2364,1,440,691,med,med,1.14,0.54,2,"['matte_black', 'calm', 'warm_wood']","['gym', 'roof_deck', 'study_lounge']"
A0817,young_pro,"{'young_pro': 0.304, 'grad_student_intl': 0.227, 'affluent_couple': 0.251, 'med_resident': 0.126, 'retired_urbanite': 0.093}",7284.0,0.314,2277,1,536,751,low,med,1.09,0.6,8,"['soft_light', 'classic', 'soft_brightness']","['gym', 'roof_deck', '24hr_access']"
A0818,young_pro,"{'young_pro': 0.372, 'grad_student_intl': 0.182, 'affluent_couple': 0.256, 'med_resident': 0.113, 'retired_urbanite': 0.076}",8204.0,0.33,2735,1,506,698,med,high,0.99,0.55,1,"['warm_wood', 'classic', 'minimal']","['package_room', 'wifi', 'in_unit_laundry']"
A0819,young_pro,"{'young_pro': 0.311, 'grad_student_intl': 0.203, 'affluent_couple': 0.172, 'med_resident': 0.151, 'retired_urbanite': 0.163}",6947.0,0.328,2323,0,480,623,med,med,0.78,0.58,6,"['budget_friendly', 'warm_wood', 'soft_brightness']","['study_lounge', 'roof_deck', 'bike_storage']"
A0820,young_pro,"{'young_pro': 0.413, 'grad_student_intl': 0.232, 'affluent_couple': 0.167, 'med_resident': 0.096, 'retired_urbanite': 0.092}",5804.0,0.275,1599,1,495,658,high,low,0.98,0.36,2,"['budget_friendly', 'matte_black', 'task_lighting']","['study_lounge', 'laundry_shared', 'gym']"
A0821,young_pro,"{'young_pro': 0.251, 'grad_student_intl': 0.25, 'affluent_couple': 0.212, 'med_resident': 0.216, 'retired_urbanite': 0.07}",7131.0,0.312,2316,1,599,789,med,low,1.12,0.64,2,"['calm_tone', 'soft_light', 'task_lighting']","['wifi', 'gym', 'concierge']"
A0822,young_pro,"{'young_pro': 0.29, 'grad_student_intl': 0.201, 'affluent_couple': 0.207, 'med_resident': 0.186, 'retired_urbanite': 0.115}",8463.0,0.26,2298,1,635,818,med,high,0.88,0.45,1,"['task_lighting', 'warm_wood', 'art_display']","['roof_deck', 'gym', 'elevator_proximity']"
A0823,young_pro,"{'young_pro': 0.267, 'grad_student_intl': 0.256, 'affluent_couple': 0.238, 'med_resident': 0.15, 'retired_urbanite': 0.089}",5451.0,0.294,1593,1,612,760,high,high,1.02,0.45,4,"['soft_light', 'art_display', 'calm']","['elevator_proximity', 'study_lounge', 'laundry']"
A0824,young_pro,"{'young_pro': 0.29, 'grad_student_intl': 0.279, 'affluent_couple': 0.191, 'med_resident': 0.075, 'retired_urbanite': 0.166}",7706.0,0.325,2476,0,444,621,med,low,1.03,0.35,2,"['calm', 'soft_light', 'task_lighting']","['roof_deck', 'elevator_proximity', 'in_unit_laundry']"
A0825,young_pro,"{'young_pro': 0.326, 'grad_student_intl': 0.281, 'affluent_couple': 0.218, 'med_resident': 0.082, 'retired_urbanite': 0.093}",6195.0,0.321,1907,2,562,701,low,low,0.83,0.77,1,"['budget_friendly', 'soft_brightness', 'art_display']","['24hr_access', 'concierge', 'package_room']"
A0826,grad_student_intl,"{'young_pro': 0.293, 'grad_student_intl': 0.306, 'affluent_couple': 0.141, 'med_resident': 0.175, 'retired_urbanite': 0.085}",7956.0,0.266,2203,1,470,673,med,low,0.94,0.56,1,"['warm_wood', 'classic', 'matte_black']","['gym', 'bike_storage', 'study_lounge']"
A0827,grad_student_intl,"{'young_pro': 0.28, 'grad_student_intl': 0.288, 'affluent_couple': 0.208, 'med_resident': 0.151, 'retired_urbanite': 0.073}",8601.0,0.31,2621,0,648,827,med,low,1.05,0.76,4,"['classic', 'task_lighting', 'budget_friendly']","['roof_deck', 'laundry', 'bike_storage']"
A0828,young_pro,"{'young_pro': 0.302, 'grad_student_intl': 0.285, 'affluent_couple': 0.259, 'med_resident': 0.095, 'retired_urbanite': 0.059}",6061.0,0.297,1885,1,653,908,med,high,1.1,0.63,5,"['art_display', 'soft_light', 'calm_tone']","['study_lounge', 'gym', '24hr_access']"
A0829,young_pro,"{'young_pro': 0.325, 'grad_student_intl': 0.254, 'affluent_couple': 0.184, 'med_resident': 0.13, 'retired_urbanite': 0.108}",10060.0,0.27,2782,2,576,748,low,low,0.99,0.33,3,"['calm', 'minimal', 'task_lighting']","['gym', 'bike_storage', 'study_lounge']"
A0830,young_pro,"{'young_pro': 0.327, 'grad_student_intl': 0.255, 'affluent_couple': 0.169, 'med_resident': 0.181, 'retired_urbanite': 0.067}",9883.0,0.253,2466,1,366,513,med,low,0.95,0.42,6,"['calm_tone', 'warm_wood', 'matte_black']","['roof_deck', 'gym', 'laundry']"
A0831,grad_student_intl,"{'young_pro': 0.227, 'grad_student_intl': 0.318, 'affluent_couple': 0.186, 'med_resident': 0.152, 'retired_urbanite': 0.117}",9284.0,0.26,2463,2,533,650,med,low,0.93,0.7,1,"['calm_tone', 'minimal', 'budget_friendly']","['gym', 'in_unit_laundry', 'wifi']"
A0832,grad_student_intl,"{'young_pro': 0.293, 'grad_student_intl': 0.323, 'affluent_couple': 0.095, 'med_resident': 0.159, 'retired_urbanite': 0.13}",9000.0,0.266,2453,0,338,485,med,low,0.79,0.47,7,"['minimal', 'soft_brightness', 'task_lighting']","['gym', 'study_lounge', 'elevator_proximity']"
A0833,young_pro,"{'young_pro': 0.306, 'grad_student_intl': 0.301, 'affluent_couple': 0.23, 'med_resident': 0.125, 'retired_urbanite': 0.037}",7372.0,0.282,2153,2,505,698,low,low,1.06,0.43,1,"['warm_wood', 'minimal', 'non_slip']","['study_lounge', 'in_unit_laundry', 'roof_deck']"
A0834,young_pro,"{'young_pro': 0.299, 'grad_student_intl': 0.228, 'affluent_couple': 0.244, 'med_resident': 0.107, 'retired_urbanite': 0.122}",11369.0,0.283,3109,2,633,789,low,high,0.64,0.57,1,"['soft_light', 'minimal', 'warm_wood']","['package_room', 'study_lounge', 'gym']"
A0835,grad_student_intl,"{'young_pro': 0.295, 'grad_student_intl': 0.307, 'affluent_couple': 0.169, 'med_resident': 0.13, 'retired_urbanite': 0.098}",7285.0,0.27,1909,0,591,745,med,med,0.9,0.56,1,"['warm_wood', 'matte_black', 'art_display']","['package_room', 'roof_deck', 'accessibility']"
A0836,young_pro,"{'young_pro': 0.305, 'grad_student_intl': 0.212, 'affluent_couple': 0.229, 'med_resident': 0.169, 'retired_urbanite': 0.085}",10326.0,0.314,3313,1,433,594,low,med,1.12,0.44,6,"['soft_light', 'minimal', 'warm_wood']","['gym', 'in_unit_laundry', 'bike_storage']"
A0837,young_pro,"{'young_pro': 0.388, 'grad_student_intl': 0.233, 'affluent_couple': 0.216, 'med_resident': 0.098, 'retired_urbanite': 0.066}",8456.0,0.288,2514,1,700,887,low,med,0.97,0.55,1,"['minimal', 'matte_black', 'non_slip']","['in_unit_laundry', 'quiet_zone', 'community_room']"
A0838,young_pro,"{'young_pro': 0.357, 'grad_student_intl': 0.189, 'affluent_couple': 0.196, 'med_resident': 0.167, 'retired_urbanite': 0.091}",7765.0,0.277,2210,1,540,675,med,med,0.9,0.52,5,"['matte_black', 'budget_friendly', 'warm_wood']","['elevator_proximity', 'bike_storage', 'study_lounge']"
A0839,young_pro,"{'young_pro': 0.285, 'grad_student_intl': 0.221, 'affluent_couple': 0.198, 'med_resident': 0.14, 'retired_urbanite': 0.155}",9247.0,0.32,2871,1,575,826,med,low,0.93,0.2,2,"['minimal', 'soft_light', 'non_slip']","['roof_deck', 'laundry', 'in_unit_laundry']"
